"","district","postcode","n","per_of_district","per_of_postcode"
"36","BADGERYS CREEK","2748",975,2.57310250184736,76.8321513002364
"37","BADGERYS CREEK","2766",173,0.456560751609838,2.55803637439006
"38","BADGERYS CREEK","2555",145,0.382666525915761,100
"39","BADGERYS CREEK","2176",1,0.00263907948907421,0.00590388475616956
"40","BALLINA","2478",23529,43.7895481277451,100
"41","BALLINA","2481",11183,20.81255117993,100
"42","BALLINA","2477",7090,13.1951165041316,99.4111048794167
"43","BALLINA","2483",5945,11.0641703268071,85.8112009237875
"44","BALLINA","2482",3267,6.08017568674161,83.2356687898089
"45","BALLINA","2479",2661,4.95235613786943,96.0303139660772
"46","BALLINA","2480",57,0.106082036775106,0.199677713164717
"47","BALMAIN","2040",13959,23.3627341043365,99.9355670103093
"48","BALMAIN","2037",12794,21.4129106763293,99.9843701156612
"49","BALMAIN","2041",10254,17.1617935028201,100
"50","BALMAIN","2007",7289,12.1993673534285,79.1164658634538
"51","BALMAIN","2038",5929,9.9231786306047,100
"52","BALMAIN","2039",5748,9.6202446902877,100
"53","BALMAIN","2050",3432,5.74402918877303,44.364012409514
"54","BALMAIN","2009",316,0.528879144420827,2.53103724469363
"55","BALMAIN","2008",14,0.0234313544996569,0.15493581230633
"56","BALMAIN","2048",13,0.02175768632111,0.273569023569024
"57","BALMAIN","2049",1,0.00167366817854692,0.0114116170261326
"58","BANKSTOWN","2200",22760,43.7255052639668,76.7053114046913
"59","BANKSTOWN","2190",11515,22.1221086605702,100
"60","BANKSTOWN","2196",11509,22.1105817259663,75.365071049702
"61","BANKSTOWN","2195",2937,5.64243448858833,22.0379680348165
"62","BANKSTOWN","2199",1838,3.53108430031507,21.7155009451796
"63","BANKSTOWN","2210",952,1.82894029047875,5.24662441443924
"64","BANKSTOWN","2209",531,1.0201337124414,6.77468742026027
"65","BANKSTOWN","2212",10,0.0192115576730961,0.112714156898106
"66","BARWON","2880",13706,21.3273165797868,100
"67","BARWON","2390",6290,9.78759822609507,98.8993710691824
"68","BARWON","2835",3459,5.38240099587645,100
"69","BARWON","2357",3320,5.16610907959231,100
"70","BARWON","2877",3286,5.11320314323504,99.8177399756987
"71","BARWON","2827",2816,4.38185637594336,100
"72","BARWON","2829",2578,4.01151482144247,100
"73","BARWON","2388",2531,3.9383801447133,100
"74","BARWON","2840",2424,3.77188205088306,100
"75","BARWON","2825",1949,3.03275499883296,100
"76","BARWON","2824",1678,2.61106356492648,100
"77","BARWON","2831",1654,2.57371819808605,73.8722644037517
"78","BARWON","2832",1608,2.50213957830857,100
"79","BARWON","2834",1396,2.17225550455147,100
"80","BARWON","2382",1367,2.12712985295262,94.21088904204
"81","BARWON","2672",1359,2.11468139733914,100
"82","BARWON","2843",1186,1.84548354469774,100
"83","BARWON","2844",1125,1.75056407064499,95.2582557154953
"84","BARWON","2396",1024,1.59340231852486,100
"85","BARWON","2839",931,1.44868902201821,100
"86","BARWON","2836",913,1.42067999688789,100
"87","BARWON","2873",786,1.22306076402396,100
"88","BARWON","2395",780,1.21372442231386,100
"89","BARWON","2828",759,1.18104722632848,100
"90","BARWON","2879",685,1.06589901190384,100
"91","BARWON","2842",599,0.932078114058974,99.6672212978369
"92","BARWON","2833",577,0.897844861121917,96.6499162479062
"93","BARWON","2878",402,0.625534894577142,95.260663507109
"94","BARWON","2397",386,0.600637983350191,91.686460807601
"95","BARWON","2386",344,0.535283591379444,100
"96","BARWON","2669",318,0.494826110635649,19.0419161676647
"97","BARWON","2817",272,0.423247490858165,100
"98","BARWON","2356",262,0.407686921341321,100
"99","BARWON","2838",231,0.359449155839104,100
"100","BARWON","2826",191,0.297206877771726,100
"101","BARWON","2875",167,0.2598615109313,21.8872870249017
"102","BARWON","2381",136,0.211623745429083,10.7680126682502
"103","BARWON","2387",124,0.19295106200887,91.1764705882353
"104","BARWON","2671",124,0.19295106200887,3.79204892966361
"105","BARWON","2379",102,0.158717809071812,43.5897435897436
"106","BARWON","2822",89,0.138489068699914,25.2840909090909
"107","BARWON","2874",81,0.126040613086439,22.0108695652174
"108","BARWON","2329",60,0.0933634171010659,3.04878048780488
"109","BARWON","2823",60,0.0933634171010659,4.88997555012225
"110","BARWON","2871",60,0.0933634171010659,0.981675392670157
"111","BARWON","2830",57,0.0886952462460126,0.217615393425724
"112","BARWON","2648",10,0.0155605695168443,0.520020800832033
"113","BARWON","2347",1,0.00155605695168443,0.0570450656018254
"114","BARWON","2398",1,0.00155605695168443,0.840336134453782
"115","BARWON","2852",1,0.00155605695168443,0.0361925443358668
"116","BATHURST","2795",26841,50.4814745157043,99.9292628443783
"117","BATHURST","2790",10159,19.1066390821892,100
"118","BATHURST","2787",3628,6.82339665224751,98.3997830214266
"119","BATHURST","2799",2951,5.55012224938875,98.1703260146374
